From 100000 events 
Particle 5122 decay report 
# of Particle 5122 : 4286
(22, 3124) : 1, fraction(0)
(111, 4112) : 1, fraction(0)
(211, -4212) : 1, fraction(0)
(-211, 4122) : 95, fraction(2)
(-211, 2212) : 1, fraction(0)
(211, -4122) : 75, fraction(1)
(-211, 4212) : 4, fraction(0)
(213, -4122) : 19, fraction(0)
(-213, 4122) : 25, fraction(0)
(221, 4112) : 2, fraction(0)
(221, -4112) : 2, fraction(0)
(311, 4132) : 2, fraction(0)
(-311, -4132) : 2, fraction(0)
(-311, -4312) : 4, fraction(0)
(-321, 4122) : 2, fraction(0)
(321, -4122) : 1, fraction(0)
(331, -4112) : 1, fraction(0)
(421, 2112) : 1, fraction(0)
(421, -3122) : 3, fraction(0)
(-421, 3122) : 2, fraction(0)
(431, -4122) : 42, fraction(0)
(-431, 4122) : 44, fraction(1)
(433, -4122) : 106, fraction(2)
(-433, 4122) : 95, fraction(2)
(441, -3122) : 2, fraction(0)
(441, 3122) : 3, fraction(0)
(443, 3122) : 2, fraction(0)
(-3122, 100443) : 1, fraction(0)
(4122, -20213) : 49, fraction(1)
(-4122, 20213) : 43, fraction(1)
(-11, 12, -4124) : 18, fraction(0)
(11, -12, 4122) : 121, fraction(2)
(11, -12, 4124) : 19, fraction(0)
(-11, 12, -4122) : 122, fraction(2)
(11, -12, 14122) : 32, fraction(0)
(-11, 12, -14122) : 33, fraction(0)
(-13, 14, -4122) : 118, fraction(2)
(13, -14, 4124) : 16, fraction(0)
(-13, 14, -4124) : 20, fraction(0)
(13, -14, 14122) : 23, fraction(0)
(-13, 14, -14122) : 33, fraction(0)
(13, -14, 4122) : 94, fraction(2)
(15, -16, 14122) : 8, fraction(0)
(-15, 16, -4122) : 32, fraction(0)
(15, -16, 4122) : 34, fraction(0)
(-15, 16, -14122) : 9, fraction(0)
(15, -16, 4124) : 8, fraction(0)
(-15, 16, -4124) : 5, fraction(0)
(111, 421, 2112) : 1, fraction(0)
(111, -211, 4122) : 55, fraction(1)
(111, 211, -4122) : 52, fraction(1)
(111, -213, 4122) : 20, fraction(0)
(111, 213, -4122) : 17, fraction(0)
(111, -423, -2112) : 1, fraction(0)
(111, 423, 2112) : 1, fraction(0)
(113, -213, 4122) : 19, fraction(0)
(113, -423, -2112) : 1, fraction(0)
(113, 213, -4122) : 15, fraction(0)
(113, -211, 4122) : 29, fraction(0)
(113, 211, -4122) : 26, fraction(0)
(211, -423, -2212) : 2, fraction(0)
(-211, 421, 2212) : 1, fraction(0)
(211, -413, -2112) : 2, fraction(0)
(211, 221, -4122) : 11, fraction(0)
(211, 331, -4122) : 4, fraction(0)
(211, -411, -2112) : 3, fraction(0)
(-211, 221, 4122) : 21, fraction(0)
(-211, 223, 4122) : 26, fraction(0)
(-211, 413, 2112) : 2, fraction(0)
(-211, 331, 4122) : 2, fraction(0)
(-211, 423, 2212) : 2, fraction(0)
(-211, 411, 2112) : 1, fraction(0)
(211, 223, -4122) : 21, fraction(0)
(-213, 223, 4122) : 9, fraction(0)
(213, 223, -4122) : 12, fraction(0)
(-213, 423, 2212) : 1, fraction(0)
